condition,mode,noise_type,rms_ratio,seed,success,episodes,success_rate,env_task
average,2,opposite,1.0,2,34,100,0.34,soundDiff-m4-f10-s2-p0-no2-ni1.0-nopp
average,2,white,1.25,0,33,100,0.33,soundDiff-m4-f10-s2-p0-no2-ni1.25
average,2,white,1.25,1,35,100,0.35,soundDiff-m4-f10-s2-p0-no2-ni1.25
average,2,white,1.25,2,31,100,0.31,soundDiff-m4-f10-s2-p0-no2-ni1.25
average,2,opposite,1.25,0,37,100,0.37,soundDiff-m4-f10-s2-p0-no2-ni1.25-nopp
average,2,opposite,1.25,1,39,100,0.39,soundDiff-m4-f10-s2-p0-no2-ni1.25-nopp
average,2,opposite,1.25,2,44,100,0.44,soundDiff-m4-f10-s2-p0-no2-ni1.25-nopp
average,2,white,1.5,0,29,100,0.29,soundDiff-m4-f10-s2-p0-no2-ni1.5
average,2,white,1.5,1,43,100,0.43,soundDiff-m4-f10-s2-p0-no2-ni1.5
average,2,white,1.5,2,26,100,0.26,soundDiff-m4-f10-s2-p0-no2-ni1.5
average,2,opposite,1.5,0,34,100,0.34,soundDiff-m4-f10-s2-p0-no2-ni1.5-nopp
average,2,opposite,1.5,1,39,100,0.39,soundDiff-m4-f10-s2-p0-no2-ni1.5-nopp
average,2,opposite,1.5,2,34,100,0.34,soundDiff-m4-f10-s2-p0-no2-ni1.5-nopp
